Item	Sel	Theo%	Exp	Emp	E-E	Recent	AvgRun	R/A	Vol	Trend	Composite	Symbol	Play?
1 1 1 1 1 1 1	✓	27.77%	1276.54	1299	22.46	-6	-3.5	-1.70	0.41	-0.18	10.29	000 →	NO
2 1 1 1 1 1	✓	43.21%	1985.72	1957	-28.72	-3	-2.3	-1.28	0.49	0.02	26.17	000 →	NO
3 1 1 1 1	✓	7.72%	354.59	357	2.41	-5	-12.5	-0.40	0.15	0.07	58.38	001 ↑	YES
2 2 1 1 1	✓	15.43%	709.19	721	11.81	+3	+1.2	+2.58	0.27	0.14	0.00	110 ↑	NO
4 1 1 1	✓	1.06%	48.91	53	4.09	-158	-84.1	-1.88	0.02	-0.01	18.18	000 →	NO
3 2 1 1	✓	3.19%	146.73	148	1.27	-66	-30.5	-2.17	0.06	-0.03	8.89	000 →	NO
2 2 2 1	✓	1.06%	48.91	38	-10.91	-126	-116.9	-1.08	0.02	-0.01	40.11	000 →	NO
5 1 1	✓	0.11%	4.89	5	0.11	-153	-765.2	-0.20	0.00	-0.00	64.49	001 ↑	YES
4 2 1	✓	0.21%	9.78	6	-3.78	-205	-655.7	-0.31	0.00	-0.00	61.49	001 ↑	YES
3 3 1	✓	0.11%	4.89	4	-0.89	-749	-918.4	-0.82	0.00	-0.00	47.69	000 →	NO
3 2 2	✓	0.11%	4.89	8	3.11	-483	-509.8	-0.95	0.00	-0.00	44.10	000 →	NO
6 1	✓	0.01%	0.32	0	-0.32	-4596	-4596.0	-1.00	0.00	0.00	42.86	000 →	NO
5 2	✓	0.01%	0.32	0	-0.32	-4596	-4596.0	-1.00	0.00	0.00	42.86	000 →	NO
4 3	✓	0.01%	0.32	0	-0.32	-4596	-4596.0	-1.00	0.00	0.00	42.86	000 →	NO
7	✓	0.00%	0.01	0	-0.01	-4596	-4596.0	-1.00	0.00	0.00	42.86	000 →	NO
