Item	Sel	Theo%	Exp	Emp	E-E	Recent	AvgRun	R/A	Vol	Trend	Composite	Symbol	Play?
1	✓	2.56%	824.92	777	-47.92	-2	-5.9	-0.34	0.28	0.08	57.27	001 ↑	YES
2	✓	2.56%	824.92	818	-6.92	-2	-5.6	-0.36	0.29	-0.13	50.14	001 ↑	YES
3	✓	2.56%	824.92	821	-3.92	-3	-5.7	-0.52	0.29	-0.13	45.80	000 →	NO
4	✓	2.56%	824.92	805	-19.92	-1	-5.8	-0.17	0.28	-0.08	57.27	001 ↑	YES
5	✓	2.56%	824.92	822	-2.92	-1	-5.7	-0.17	0.29	-0.03	58.62	001 ↑	YES
6	✓	2.56%	824.92	809	-15.92	-5	-5.6	-0.89	0.29	-0.03	38.33	000 →	NO
7	✓	2.56%	824.92	836	11.08	-13	-5.4	-2.41	0.30	-0.13	0.00	000 →	NO
8	✓	2.56%	824.92	904	79.08	-3	-5.0	-0.60	0.32	-0.05	45.33	000 →	NO
9	✓	2.56%	824.92	836	11.08	-4	-5.5	-0.73	0.30	0.02	44.04	000 →	NO
10	✓	2.56%	824.92	840	15.08	-3	-5.4	-0.56	0.30	0.02	48.69	000 →	NO
11	✓	2.56%	824.92	853	28.08	-10	-5.4	-1.86	0.30	0.01	12.09	000 →	NO
12	✓	2.56%	824.92	806	-18.92	-12	-5.7	-2.09	0.29	-0.08	3.24	000 →	NO
13	✓	2.56%	824.92	824	-0.92	+1	+1.2	+0.85	0.30	0.02	40.66	110 ↑	NO
14	✓	2.56%	824.92	800	-24.92	+1	+1.2	+0.83	0.29	0.03	41.69	110 ↑	NO
15	✓	2.56%	824.92	792	-32.92	-14	-5.6	-2.49	0.29	-0.12	0.00	000 →	NO
16	✓	2.56%	824.92	828	3.08	+1	+1.2	+0.82	0.30	0.12	44.62	110 ↑	NO
17	✓	2.56%	824.92	757	-67.92	-8	-6.0	-1.33	0.28	-0.06	25.13	000 →	NO
18	✓	2.56%	824.92	815	-9.92	-3	-5.7	-0.53	0.29	0.02	49.97	000 →	NO
19	✓	2.56%	824.92	805	-19.92	+1	+1.2	+0.84	0.29	-0.03	39.76	110 ↑	NO
20	✓	2.56%	824.92	762	-62.92	-2	-6.0	-0.33	0.28	0.03	56.18	001 ↑	YES
21	✓	2.56%	824.92	825	0.08	-1	-5.6	-0.18	0.30	-0.08	56.65	001 ↑	YES
22	✓	2.56%	824.92	846	21.08	-5	-5.5	-0.92	0.30	0.07	40.14	000 →	NO
23	✓	2.56%	824.92	901	76.08	-6	-5.1	-1.17	0.31	-0.05	29.46	000 →	NO
24	✓	2.56%	824.92	830	5.08	-3	-5.5	-0.55	0.30	0.12	52.16	001 ↑	YES
25	✓	2.56%	824.92	835	10.08	-10	-5.6	-1.78	0.29	-0.08	11.68	000 →	NO
26	✓	2.56%	824.92	866	41.08	-7	-5.3	-1.33	0.31	-0.14	22.30	000 →	NO
27	✓	2.56%	824.92	782	-42.92	+2	+1.2	+1.67	0.28	0.08	19.76	110 ↑	NO
28	✓	2.56%	824.92	815	-9.92	-1	-5.5	-0.18	0.30	0.02	59.68	001 ↑	YES
29	✓	2.56%	824.92	842	17.08	-5	-5.4	-0.92	0.30	0.12	41.62	000 →	NO
30	✓	2.56%	824.92	781	-43.92	-2	-5.8	-0.35	0.29	0.08	56.82	001 ↑	YES
31	✓	2.56%	824.92	823	-1.92	-5	-5.6	-0.90	0.30	0.17	43.92	000 →	NO
32	✓	2.56%	824.92	852	27.08	-7	-5.3	-1.31	0.31	-0.09	24.50	000 →	NO
33	✓	2.56%	824.92	846	21.08	+1	+1.2	+0.82	0.30	0.02	41.37	110 ↑	NO
34	✓	2.56%	824.92	864	39.08	+1	+1.2	+0.81	0.30	0.01	41.51	110 ↑	NO
35	✓	2.56%	824.92	839	14.08	-1	-5.5	-0.18	0.29	0.07	61.07	001 ↑	YES
36	✓	2.56%	824.92	783	-41.92	-2	-5.8	-0.34	0.28	0.03	55.63	001 ↑	YES
37	✓	2.56%	824.92	856	31.08	-8	-5.4	-1.49	0.30	0.01	22.47	000 →	NO
38	✓	2.56%	824.92	832	7.08	-4	-5.5	-0.73	0.30	0.02	44.11	000 →	NO
39	✓	2.56%	824.92	844	19.08	-1	-5.2	-0.19	0.31	0.12	61.90	001 ↑	YES
